,_id,name,warband,subfaction,grand_alliance,movement,toughness,wounds,runemarks,points,weapon_1_attacks,weapon_1_dmg_crit,weapon_1_dmg_hit,weapon_1_max_range,weapon_1_min_range,weapon_1_runemark,weapon_1_strength,weapon_2_attacks,weapon_2_dmg_crit,weapon_2_dmg_hit,weapon_2_max_range,weapon_2_min_range,weapon_2_runemark,weapon_2_strength
0,96036a6f,Spider Swarm,Tarantulos Brood,,chaos,6,1,6,"['agile', 'beast']",50,4,2,1,1,0,fangs,1,,,,,,,
1,54323fbf,Broodkin with Scythe and Spider Claw,Tarantulos Brood,,chaos,5,3,8,"['scout', 'sentience']",60,2,5,1,1,0,claws,4,2.0,4.0,1.0,2.0,0.0,scythe,3.0
2,094de044,Broodkin,Tarantulos Brood,,chaos,5,3,8,"['scout', 'sentience']",65,4,3,1,1,0,sword,3,,,,,,,
3,ac58a78d,Broodkin with Sai,Tarantulos Brood,,chaos,5,3,8,"['scout', 'sentience']",65,3,3,1,1,0,sword,4,,,,,,,
4,c30a039d,Doomweaver with Flail and Goad,Tarantulos Brood,,chaos,5,3,10,"['sentience', 'agile']",105,4,4,2,1,0,axe,4,3.0,4.0,1.0,3.0,0.0,reach,3.0
5,24c8b39e,Doomweaver with Trident and Net,Tarantulos Brood,,chaos,5,3,10,"['sentience', 'agile', 'trapper']",105,3,4,2,2,0,spear,4,,,,,,,
6,c0252322,Broodmaster,Tarantulos Brood,,chaos,6,4,18,"['hero', 'sentience', 'agile']",180,5,4,2,1,0,sword,4,,,,,,,
7,51f1b259,Cabalist,Corvus Cabal,,chaos,5,3,8,[],65,4,3,1,1,0,dagger,3,,,,,,,
8,f9108003,Cabalist with Familiar,Corvus Cabal,,chaos,5,3,8,['scout'],70,4,3,1,1,0,axe,3,,,,,,,
9,31adb845,Cabalist with Spear,Corvus Cabal,,chaos,5,3,8,[],80,4,4,1,2,0,spear,3,,,,,,,
10,897013b5,Spire Stalker,Corvus Cabal,,chaos,5,4,15,['champion'],130,4,4,2,1,0,sword,4,,,,,,,
11,1c34e766,Shadow Piercer,Corvus Cabal,,chaos,5,4,20,"['hero', 'scout']",170,4,5,2,1,0,sword,4,,,,,,,
12,bdf29dcf,Shrike Talon,Corvus Cabal,,chaos,8,4,20,['agile'],170,5,4,2,1,0,claws,4,,,,,,,
13,5c13b735,Chaos Warhound,chaos,,chaos,8,3,10,"['thrall', 'scout', 'beast']",85,3,3,1,1,0,fangs,3,,,,,,,
14,42cd09a1,Raptoryx,chaos,,chaos,5,4,12,"['thrall', 'beast', 'berserker']",85,3,4,1,1,0,claws,4,,,,,,,
15,4c982c53,Fury,chaos,,chaos,8,3,8,"['fly', 'thrall', 'sentience']",95,3,2,1,1,0,claws,3,,,,,,,
16,3062e7a9,Chaos Spawn,chaos,,chaos,5,4,30,"['thrall', 'agile', 'beast']",170,4,4,2,1,0,fangs,4,,,,,,,
17,ee042882,Razorgor,chaos,,chaos,8,4,25,"['thrall', 'beast', 'ferocious']",205,4,5,2,1,0,fangs,4,,,,,,,
18,0014b0b1,Fomoroid Crusher,chaos,,chaos,5,6,35,"['ally', 'destroyer']",270,3,8,4,1,0,unarmed,6,,,,,,,
19,10fcdb0b,Mindstealer Sphiranx,chaos,,chaos,8,5,30,"['ally', 'mystic']",260,4,5,2,1,0,claws,5,,,,,,,
20,f2e9c403,Ogroid Myrmidon,chaos,,chaos,5,6,30,"['ally', 'champion']",275,3,8,4,2,0,spear,5,,,,,,,
21,2137fdcf,Centaurion Marshal,chaos,,chaos,10,5,35,"['ally', 'icon-bearer', 'mount']",295,3,6,3,1,0,club,5,3.0,5.0,2.0,3.0,0.0,spear,6.0
22,d695c03d,Cygor,chaos,,chaos,6,4,50,"['monster', 'terrifying']",415,4,8,4,2,0,unarmed,4,,,,,,,
23,23768752,Chaos Gargant,chaos,,chaos,6,4,45,"['monster', 'brute']",420,4,8,4,2,0,club,5,,,,,,,
24,858b966f,Mutalith Vortex Beast,chaos,,chaos,8,4,50,"['monster', 'trapper']",425,4,8,4,1,0,fangs,4,,,,,,,
25,6d84da35,Ghorgon,chaos,,chaos,6,4,50,"['monster', 'frenzied']",445,5,10,4,2,0,unarmed,6,,,,,,,
26,718e4ffe,Hell Pit Abomination,chaos,,chaos,6,4,55,"['monster', 'minion']",465,5,10,4,2,0,claws,4,,,,,,,
27,c01737a3,Slaughterbrute,chaos,,chaos,8,4,50,"['monster', 'elite']",490,5,8,4,2,0,claws,4,,,,,,,
28,4ddf17fb,Chimera,chaos,,chaos,12,4,45,"['fly', 'monster', 'bulwark']",515,6,10,5,2,0,fangs,6,,,,,,,
29,39ee76bf,Initiate with Flameburst Pot,Scions of the Flame,,chaos,4,3,10,['trapper'],65,3,4,1,1,0,dagger,3,,,,,,,
30,53e6f9b9,Initiate with Morning Star,Scions of the Flame,,chaos,4,3,10,[],65,3,4,1,3,0,reach,3,,,,,,,
31,0763fc24,Initiate with Brazier Weapon,Scions of the Flame,,chaos,4,3,10,['trapper'],70,3,4,1,1,0,axe,4,,,,,,,
